id,edad,genero,sentimiento_serguridad,satisfaccion,covid_positivo,covid_prueba,covid_sintomas,covid_conocido_sintomas,covid_contacto_sintomas,covid_prevencion,covid_tratar,covid_atencion_puesto_salud,covid_desempleo,covid_depresion,covid_conflictos,covid_internados,covid_muerte,covid_higiene,servicio_agua,servicio_desague,servicio_telefono,servicio_internet,servicio_electricidad,cal_servicio_agua,cal_servicio_telefono,cal_servicio_internet,cal_servicio_electricidad,cal_servicio_basura,cal_servicio_seguridad,cal_servicio_mant_parq,cal_servicio_desague,muni_recojo_basura,muni_man_parques,tiempo_comercial,tiempo_cultural,tiempo_escuela,tiempo_universidad,tiempo_salud,tiempo_aux_rap,tiempo_via_principal,tiempo_iglesia,vivienda_m2,vivienda_m2_precio,vivienda_vivir_anios,vivienda_cuartos,vivienda_pisos,vivienda_banos,valoracion_vivienda,gasto_alimentos,gasto_vestido,gasto_edu,gasto_salud,gasto_transpor,gasto_diversion,alr_calles_pavimentadas,alr_zonas_verdes,alr_parques_recreativas,alr_auxilio_rap,jefe_ocu,distrito,zona,hogar_ingresos_cuantos,ingreso_familiar,f_menor18,f_hombre,f_mujer,idiomas,lugar_n
721,25,0,0,4,0,1,1,1,1,50,250,0,1,1,1,0,0,5,1,1,0,0,1,4,3,2,4,4,2,1,4,1,0,0,0,0,0,25.5,0,0,0,150,600,2,1,3,3,90000,300,300,100,50,120,0,0,0,1,0,2,2, Auray,2,1700,0,0,2,1,Junin
721,25,0,0,4,0,1,1,1,1,50,250,0,1,1,1,0,0,5,1,1,0,0,1,4,3,2,4,4,2,1,4,1,0,0,0,0,0,0,0,15.5,0,150,600,2,1,3,3,90000,300,300,100,50,120,0,0,0,1,0,2,2, Auray,2,1700,0,0,2,1,Junin
722,21,0,1,10,0,0,0,0,0,50,0,0,0,1,1,0,0,5,1,1,0,1,1,4,4,3,4,3,4,4,4,1,1,45,45,0,45,0,0,0,0,160,50,5,1,2,3,150000,500,100,100,50,50,50,1,1,1,1,1,3, Los andes,4,5000,1,3,3,2,Junin
722,21,0,1,10,0,0,0,0,0,50,0,0,0,1,1,0,0,5,1,1,0,1,1,4,4,3,4,3,4,4,4,1,1,0,0,25.5,0,0,25.5,25.5,25.5,160,50,5,1,2,3,150000,500,100,100,50,50,50,1,1,1,1,1,3, Los andes,4,5000,1,3,3,2,Junin
722,21,0,1,10,0,0,0,0,0,50,0,0,0,1,1,0,0,5,1,1,0,1,1,4,4,3,4,3,4,4,4,1,1,0,0,0,0,15.5,0,0,0,160,50,5,1,2,3,150000,500,100,100,50,50,50,1,1,1,1,1,3, Los andes,4,5000,1,3,3,2,Junin
723,22,0,1,7,0,0,0,1,0,600,600,0,0,0,1,2,1,5,1,1,1,1,1,4,3,3,4,4,3,3,4,1,1,15.5,15.5,0,0,0,0,15.5,0,120,60,1,1,4,1,200000,800,200,2000,300,50,100,1,0,0,1,2,3, La florida,3,5000,5,2,3,2,Junin
723,22,0,1,7,0,0,0,1,0,600,600,0,0,0,1,2,1,5,1,1,1,1,1,4,3,3,4,4,3,3,4,1,1,0,0,5.5,0,5.5,5.5,0,5.5,120,60,1,1,4,1,200000,800,200,2000,300,50,100,1,0,0,1,2,3, La florida,3,5000,5,2,3,2,Junin
723,22,0,1,7,0,0,0,1,0,600,600,0,0,0,1,2,1,5,1,1,1,1,1,4,3,3,4,4,3,3,4,1,1,0,0,0,25.5,0,0,0,0,120,60,1,1,4,1,200000,800,200,2000,300,50,100,1,0,0,1,2,3, La florida,3,5000,5,2,3,2,Junin
724,20,1,1,9,0,0,1,1,1,600,800,0,0,0,0,0,0,3,1,0,0,1,1,5,0,3,4,3,0,0,0,1,0,45,45,45,0,45,0,0,0,280,300,5,1,2,2,80000,600,400,300,500,300,200,0,1,0,0,2,3, Saños grande,3,3000,4,0,0,1,Junin
724,20,1,1,9,0,0,1,1,1,600,800,0,0,0,0,0,0,3,1,0,0,1,1,5,0,3,4,3,0,0,0,1,0,0,0,0,25.5,0,25.5,0,0,280,300,5,1,2,2,80000,600,400,300,500,300,200,0,1,0,0,2,3, Saños grande,3,3000,4,0,0,1,Junin
724,20,1,1,9,0,0,1,1,1,600,800,0,0,0,0,0,0,3,1,0,0,1,1,5,0,3,4,3,0,0,0,1,0,0,0,0,0,0,0,15.5,0,280,300,5,1,2,2,80000,600,400,300,500,300,200,0,1,0,0,2,3, Saños grande,3,3000,4,0,0,1,Junin
724,20,1,1,9,0,0,1,1,1,600,800,0,0,0,0,0,0,3,1,0,0,1,1,5,0,3,4,3,0,0,0,1,0,0,0,0,0,0,0,0,5.5,280,300,5,1,2,2,80000,600,400,300,500,300,200,0,1,0,0,2,3, Saños grande,3,3000,4,0,0,1,Junin
725,48,1,1,6,0,1,0,1,0,120,30,1,0,1,1,3,2,2,1,1,0,1,1,4,4,4,4,4,3,3,4,1,0,15.5,0,0,15.5,0,0,0,0,120,500,3,1,1,2,90,700,300,200,400,290,60,0,1,0,1,2,3, Saños chico,2,2,3,1,2,3,Huancayo
725,48,1,1,6,0,1,0,1,0,120,30,1,0,1,1,3,2,2,1,1,0,1,1,4,4,4,4,4,3,3,4,1,0,0,45,0,0,0,0,0,0,120,500,3,1,1,2,90,700,300,200,400,290,60,0,1,0,1,2,3, Saños chico,2,2,3,1,2,3,Huancayo
725,48,1,1,6,0,1,0,1,0,120,30,1,0,1,1,3,2,2,1,1,0,1,1,4,4,4,4,4,3,3,4,1,0,0,0,5.5,0,5.5,5.5,5.5,5.5,120,500,3,1,1,2,90,700,300,200,400,290,60,0,1,0,1,2,3, Saños chico,2,2,3,1,2,3,Huancayo
726,52,0,1,8,0,1,0,1,0,600,0,0,0,0,0,0,0,3,1,1,0,1,1,4,3,3,4,4,3,3,4,1,1,5.5,5.5,5.5,0,5.5,5.5,5.5,5.5,70,3500,5,3,5,1,250000,500,200,500,500,100,200,1,0,0,1,1,1, Centro de huancayo,2,5000,2,0,2,1,Junin
726,52,0,1,8,0,1,0,1,0,600,0,0,0,0,0,0,0,3,1,1,0,1,1,4,3,3,4,4,3,3,4,1,1,0,0,0,15.5,0,0,0,0,70,3500,5,3,5,1,250000,500,200,500,500,100,200,1,0,0,1,1,1, Centro de huancayo,2,5000,2,0,2,1,Junin
727,46,0,0,3,0,0,0,1,0,100,100,0,1,1,1,0,0,5,1,1,1,1,1,4,4,2,3,3,1,2,4,1,1,45,45,0,0,0,45,45,0,30,200,1,2,0,0,400,900,0,100,50,50,0,0,0,1,0,2,3, Saños grande,1,930,0,0,2,1,Cajamarca
727,46,0,0,3,0,0,0,1,0,100,100,0,1,1,1,0,0,5,1,1,1,1,1,4,4,2,3,3,1,2,4,1,1,0,0,15.5,15.5,15.5,0,0,0,30,200,1,2,0,0,400,900,0,100,50,50,0,0,0,1,0,2,3, Saños grande,1,930,0,0,2,1,Cajamarca
727,46,0,0,3,0,0,0,1,0,100,100,0,1,1,1,0,0,5,1,1,1,1,1,4,4,2,3,3,1,2,4,1,1,0,0,0,0,0,0,0,25.5,30,200,1,2,0,0,400,900,0,100,50,50,0,0,0,1,0,2,3, Saños grande,1,930,0,0,2,1,Cajamarca
728,23,0,1,8,0,0,0,0,0,100,0,0,1,1,1,0,0,4,1,1,0,1,1,4,3,3,4,4,3,3,4,1,1,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25,20,2,1,1,1,500,500,100,100,100,100,0,1,0,0,0,2,3, Tres esquinas,1,1000,1,1,1,1,Junin
729,24,0,1,7,0,0,0,0,0,0,0,0,1,0,1,0,0,5,1,1,0,0,1,4,4,0,4,4,4,0,4,1,0,90,90,0,0,0,0,0,0,50,100,5,5,2,1,50000,600,0,0,0,100,0,1,0,1,1,2,3, Saños chico,4,5000,0,1,3,1,Ucayali
